arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22024111,77072711,1,14-51-AR,2014-09-19 00:00:00,3,N,56,5,44,M,1,2,N,,,,,
22030794,77089928,1,14-988-AR,2014-08-22 00:00:00,3,N,56,5,20,M,1,2,N,,,,,
22024009,77070818,1,14-233-AR,2014-05-01 00:00:00,3,N,56,5,48,F,1,2,R,,,,,
22023984,77070728,1,14-198-AR,2014-04-17 00:00:00,3,N,56,5,43,M,1,2,R,,,,,
22019616,77063128,1,14-7104-AR,2015-01-23 00:00:00,3,N,56,5,18,M,1,2,R,,,,,
22019614,77063126,1,14-7064-AR,2014-10-17 00:00:00,3,N,56,5,51,M,1,2,R,,,,,
22017434,77051975,1,14-948-AR,2014-09-13 00:00:00,3,N,56,5,57,M,1,2,R,,,,,
22015214,77043417,1,14-24-AR,2014-01-31 00:00:00,3,N,56,5,28,M,1,2,N,,,,,
22040930,77121176,1,14-30-AR,2014-07-11 00:00:00,3,N,56,5,33,M,1,2,N,,,,,
22038694,77113665,1,14-60309,2014-11-12 00:00:00,3,N,56,5,63,M,1,2,R,,,,,
22035330,77106005,1,14-484-AR,2014-08-04 00:00:00,3,N,56,5,34,M,1,2,R,,,,,
22040939,77121203,3,14HAN-123-AR,2014-03-29 00:00:00,1,N,52,5,18,M,2,2,N,,,,,
22026294,77078469,1,14-14-AR,2014-01-24 00:00:00,1,N,52,5,19,M,2,2,N,,,,,
22045249,77132768,3,15L-489-AR,2015-04-13 00:00:00,2,N,56,5,15,M,1,2,N,R,,,,
22045248,77132768,2,15L-487-AR,2015-04-13 00:00:00,2,N,56,5,14,M,1,2,R,R,,,,
22035348,77106861,1,14-720-AR,2014-12-19 00:00:00,2,N,56,5,21,M,1,2,R,,,,,
21387650,75169490,9,14-491-AR,2014-06-22 00:00:00,2,N,52,5,19,M,2,2,N,,,,,
21387646,75169490,5,14-488-AR,2014-06-18 00:00:00,2,N,52,5,18,M,2,2,N,,,,,
21387652,75169490,11,14-492-AR,2014-06-29 00:00:00,2,N,52,5,18,F,1,2,N,,,,,
21387649,75169490,8,14-494-AR,2014-06-22 00:00:00,2,N,52,5,17,M,1,2,N,H,,,,
21387648,75169490,7,14-490-AR,2014-06-18 00:00:00,2,N,52,5,16,M,1,2,N,R,,,,
21387647,75169490,6,14-489-AR,2014-06-18 00:00:00,2,N,52,5,20,M,1,2,N,,,,,
21387645,75169490,4,14-487-AR,2014-06-18 00:00:00,2,N,52,5,19,F,1,2,N,,,,,
21387644,75169490,3,14-486-AR,2014-06-18 00:00:00,2,N,52,5,18,F,1,2,N,,,,,
21387643,75169490,2,14-485-AR,2014-06-17 00:00:00,2,N,52,5,20,F,1,2,N,,,,,
21392088,75182497,1,14-526-AR,2014-08-25 00:00:00,1,N,53,5,17,F,1,2,N,R,,,,
21389833,75174730,1,14-940-AR,2014-11-06 00:00:00,1,N,53,5,26,F,1,2,N,,,,,
21389777,75174635,1,14-734-AR,2014-08-31 00:00:00,1,N,53,5,40,M,1,2,R,,,,,
21375629,75132375,3,14-64729,2014-10-26 00:00:00,1,C,52,5,20,M,2,2,N,,,,,
21374520,75131503,1,14-00190,2014-01-02 00:00:00,1,N,52,5,51,M,2,2,N,,,,,
21390917,75177259,2,14-566-AR,2014-11-22 00:00:00,1,N,52,5,18,M,2,2,N,,,,,
21389828,75174724,1,14-928-AR,2014-11-04 00:00:00,1,N,52,5,19,F,2,2,N,,,,,
21342135,75055753,1,14-20522,2014-04-12 00:00:00,1,N,52,5,19,M,2,2,N,,,,,
21353291,75084989,1,14-679-AR,2014-08-07 00:00:00,1,N,52,5,20,M,2,2,N,,,,,
21353231,75084066,1,14-455-AR,2014-07-05 00:00:00,1,N,52,5,18,M,2,2,N,,,,,
21331386,75023887,1,14-13483-AR,2014-03-31 00:00:00,1,N,52,5,20,M,2,2,R,,,,,
21334339,75032410,1,14-41095-AR,2014-09-20 00:00:00,1,N,52,5,18,M,2,2,R,,,,,
21325897,75009140,1,14-97444-AR,2014-12-28 00:00:00,1,N,52,5,19,M,2,2,N,,,,,
22013023,77036683,1,14-26789,2014-05-14 00:00:00,1,C,45,5,22,M,1,2,R,,,,,
22035184,77103991,2,14-24591,2014-05-04 00:00:00,1,N,45,5,49,M,1,2,N,,,,,
22035183,77103991,1,14-24591,2014-05-04 00:00:00,1,N,45,5,22,M,1,2,N,,,,,
22032948,77098438,1,14-681-AR,2014-06-12 00:00:00,1,N,45,5,26,M,1,2,R,,,,,
21385356,75161763,1,14-1860-AR,2014-10-09 00:00:00,2,N,45,5,14,M,1,2,R,H,,,,
21339959,75049753,1,14-73-AR,2014-04-26 00:00:00,1,N,45,5,26,M,1,2,N,,,,,
21338844,75044495,1,14HKS-73-AR,2014-02-23 00:00:00,1,N,45,5,33,F,1,2,N,,,,,
21338800,75043613,1,14HKS-534-AR,2014-11-02 00:00:00,1,N,45,5,32,M,1,2,N,,,,,
21353335,75085830,1,14-843-AR,2014-09-14 00:00:00,1,N,45,5,19,M,1,2,N,,,,,
21353313,75085781,1,14-779-AR,2014-08-29 00:00:00,1,N,45,5,21,M,1,2,N,,,,,
21353309,75085771,1,14-764-AR,2014-08-26 00:00:00,1,N,45,5,34,M,1,2,N,,,,,
21353214,75083280,1,14-402-AR,2014-07-01 00:00:00,1,N,45,5,27,M,1,2,N,,,,,
21349999,75076226,1,14-55-AR,2014-02-19 00:00:00,1,N,45,5,33,M,1,2,R,,,,,
21348925,75073657,2,14-124-AR,2014-04-10 00:00:00,1,N,45,5,43,F,1,2,N,,,,,
21348924,75073657,1,14-123-AR,2014-04-10 00:00:00,1,N,45,5,28,F,1,2,N,,,,,
21349956,75075367,1,14-4-AR,2014-01-06 00:00:00,1,N,45,5,34,M,1,2,N,,,,,
21347804,75071015,1,14-618-AR,2014-06-10 00:00:00,1,N,45,5,30,M,1,2,N,,,,,
21347793,75070997,1,14-60-AR,2014-01-20 00:00:00,1,N,45,5,29,M,1,2,N,,,,,
21345593,75064686,3,14-143-AR,2014-02-12 00:00:00,1,N,45,5,31,F,1,2,N,,,,,
21348790,75072662,2,14-789-AR,2014-07-17 00:00:00,1,N,45,5,30,M,1,2,N,,,,,
21348789,75072662,1,14-788-AR,2014-07-17 00:00:00,1,N,45,5,25,F,1,2,N,,,,,
21347663,75070009,2,14-35-AR,2014-01-13 00:00:00,1,N,45,5,29,F,1,2,N,,,,,
21353379,75086695,4,14HFS-32-AR,2014-05-21 00:00:00,1,N,45,5,21,F,1,2,N,,,,,
21331543,75025688,1,14-20495-AR,2014-05-16 00:00:00,1,N,45,5,49,M,1,2,U,,,,,
21381180,75152165,1,14-448-AR,2014-03-21 00:00:00,3,N,44,5,28,M,1,2,N,,,,,
21380077,75147063,1,14MID-13-AR,2014-05-19 00:00:00,3,N,44,5,32,M,1,2,N,,,,,
21380075,75147051,1,14MID-7-AR,2014-03-27 00:00:00,3,N,44,5,42,M,1,2,R,,,,,
21387521,75167020,1,14-360-AR,2014-03-06 00:00:00,3,N,44,5,50,M,1,2,R,,,,,
21387478,75166936,1,14-41-AR,2014-01-08 00:00:00,3,N,44,5,28,M,1,2,N,,,,,
21386442,75165271,1,14-2255-AR,2014-12-05 00:00:00,3,N,44,5,29,M,1,2,R,,,,,
21386436,75165256,1,14-2401-AR,2014-12-26 00:00:00,3,N,44,5,54,M,1,2,R,,,,,
21386423,75165211,1,14-2165-AR,2014-11-21 00:00:00,3,N,44,5,34,M,1,2,N,,,,,
21385399,75162644,1,14-2325-AR,2014-12-15 00:00:00,3,N,44,5,41,M,1,2,N,,,,,
21385357,75161772,1,14-190-AR,2014-01-31 00:00:00,3,N,44,5,18,M,1,2,N,,,,,
21385340,75160957,1,14-26-AR,2014-01-05 00:00:00,3,N,44,5,18,M,1,2,N,,,,,
21384316,75159174,1,14-1251-AR,2014-07-15 00:00:00,3,N,44,5,21,M,1,2,R,,,,,
21384296,75158393,1,14-1204-AR,2014-07-09 00:00:00,3,N,44,5,30,M,1,2,R,,,,,
21384284,75158358,1,14-1199-AR,2014-07-09 00:00:00,3,N,44,5,57,M,1,2,N,,,,,
21381086,75149586,1,14MIL-180-AR,2014-08-25 00:00:00,3,N,44,5,24,M,1,2,R,,,,,
21381083,75149558,1,14MIL-174-AR,2014-08-16 00:00:00,3,N,44,5,49,F,1,2,R,,,,,
21381082,75149557,1,14MIL-59-AR,2014-03-25 00:00:00,3,N,44,5,31,M,1,2,N,,,,,
21381058,75148703,1,14MIL-11-AR,2014-01-11 00:00:00,3,N,44,5,25,M,1,2,R,,,,,
21378970,75144395,1,14FAR-265-AR,2014-08-31 00:00:00,3,N,44,5,46,M,1,2,R,,,,,
21385334,75160944,1,14-1631-AR,2014-09-05 00:00:00,3,N,44,5,22,M,1,2,R,,,,,
21385292,75160051,1,14-1524-AR,2014-08-21 00:00:00,3,N,44,5,31,M,1,2,R,,,,,
21384275,75158315,1,14-1140-AR,2014-06-29 00:00:00,3,N,44,5,26,M,1,2,N,,,,,
21384245,75157513,1,14-1101-AR,2014-06-22 00:00:00,3,N,44,5,49,M,1,2,N,,,,,
21384228,75157460,1,14-1255-AR,2014-07-15 00:00:00,3,N,44,5,37,M,1,2,N,,,,,
21381026,75147920,1,14MIL-60-AR,2014-03-25 00:00:00,3,N,44,5,31,M,1,2,N,,,,,
21381024,75147918,1,14MIL-39-AR,2014-02-26 00:00:00,3,N,44,5,53,M,1,2,N,,,,,
21379965,75145300,1,14FAR-57-AR,2014-02-26 00:00:00,3,N,44,5,14,M,1,2,R,R,,,,
21379928,75145218,1,14FAR-357-AR,2014-12-05 00:00:00,3,N,44,5,39,M,1,2,R,,,,,
21379924,75144514,1,14FAR-346-AR,2014-11-24 00:00:00,3,N,44,5,31,F,1,2,R,,,,,
21377818,75139382,2,DOV140001169,2014-12-11 00:00:00,3,N,44,5,21,M,1,2,N,,,,,
21385252,75159208,1,14-1284-AR,2014-07-18 00:00:00,3,N,44,5,19,M,1,2,N,,,,,
21382066,75153143,1,14-622-AR,2014-04-11 00:00:00,3,N,44,5,30,M,1,2,R,,,,,
21382047,75153109,1,14-661-AR,2014-04-16 00:00:00,3,N,44,5,48,M,1,2,N,,,,,
21379898,75144412,1,14FAR-290-AR,2014-09-19 00:00:00,3,N,44,5,17,M,1,2,N,R,,,,
21379895,75144403,2,14FAR-75-AR,2014-03-20 00:00:00,3,N,44,5,46,M,1,2,R,,,,,
21377787,75138552,1,DOV140000781,2014-08-28 00:00:00,3,N,44,5,33,F,1,2,R,,,,,
21377786,75138544,1,DOV140001115,2014-11-29 00:00:00,3,C,44,5,26,M,1,2,R,,,,,
21383061,75154006,1,14-713-AR,2014-04-23 00:00:00,3,N,44,5,35,M,1,2,R,,,,,
